index,date,open,high,low,close,volume
310,"2020/01/31, 19:00:00",1.06832,1.06909,1.06774,1.06868,1e+100
311,"2020/02/02, 23:00:00",1.06868,1.06933,1.06798,1.06899,1e+100
312,"2020/02/03, 03:00:00",1.06899,1.06908,1.06769,1.06777,1e+100
313,"2020/02/03, 07:00:00",1.06777,1.06936,1.06706,1.06756,1e+100
314,"2020/02/03, 11:00:00",1.06756,1.06772,1.06638,1.06663,1e+100
315,"2020/02/03, 15:00:00",1.06663,1.06879,1.0664,1.06832,1e+100
316,"2020/02/03, 19:00:00",1.06832,1.06898,1.06823,1.06841,1e+100
317,"2020/02/03, 23:00:00",1.06841,1.06951,1.06802,1.06934,1e+100
318,"2020/02/04, 03:00:00",1.06934,1.06988,1.06892,1.0696,1e+100
319,"2020/02/04, 07:00:00",1.0696,1.07175,1.06933,1.07085,1e+100
320,"2020/02/04, 11:00:00",1.07085,1.07125,1.06992,1.07058,1e+100
321,"2020/02/04, 15:00:00",1.07058,1.07107,1.07001,1.07033,1e+100
322,"2020/02/04, 19:00:00",1.07033,1.07104,1.07016,1.07052,1e+100
323,"2020/02/04, 23:00:00",1.07052,1.07087,1.0701,1.07061,1e+100
324,"2020/02/05, 03:00:00",1.07061,1.07062,1.06946,1.0696,1e+100
325,"2020/02/05, 07:00:00",1.0696,1.07243,1.06907,1.0724,1e+100
326,"2020/02/05, 11:00:00",1.0724,1.07283,1.07063,1.07157,1e+100
327,"2020/02/05, 15:00:00",1.07157,1.07232,1.06977,1.07076,1e+100
328,"2020/02/05, 19:00:00",1.07076,1.07099,1.07041,1.07078,1e+100
329,"2020/02/05, 23:00:00",1.07078,1.07136,1.07058,1.07062,1e+100
330,"2020/02/06, 03:00:00",1.07062,1.07171,1.07057,1.07138,1e+100
331,"2020/02/06, 07:00:00",1.07138,1.07238,1.07065,1.07197,1e+100
332,"2020/02/06, 11:00:00",1.07197,1.07227,1.07106,1.07175,1e+100
333,"2020/02/06, 15:00:00",1.07175,1.07245,1.06957,1.07033,1e+100
334,"2020/02/06, 19:00:00",1.07033,1.07082,1.07017,1.07036,1e+100
335,"2020/02/06, 23:00:00",1.07036,1.07085,1.0696,1.07006,1e+100
336,"2020/02/07, 03:00:00",1.07006,1.07033,1.06956,1.07013,1e+100
337,"2020/02/07, 07:00:00",1.07013,1.07081,1.06908,1.06908,1e+100
338,"2020/02/07, 11:00:00",1.06908,1.07099,1.06797,1.06994,1e+100
339,"2020/02/07, 15:00:00",1.06994,1.07105,1.06859,1.06985,1e+100
340,"2020/02/07, 19:00:00",1.06985,1.0703,1.06949,1.06996,1e+100
341,"2020/02/09, 23:00:00",1.06996,1.07046,1.06906,1.07023,1e+100
342,"2020/02/10, 03:00:00",1.07023,1.07136,1.06995,1.07057,1e+100
343,"2020/02/10, 07:00:00",1.07057,1.07128,1.06963,1.07039,1e+100
344,"2020/02/10, 11:00:00",1.07039,1.07099,1.06892,1.06918,1e+100
345,"2020/02/10, 15:00:00",1.06918,1.06921,1.06643,1.0665,1e+100
346,"2020/02/10, 19:00:00",1.0665,1.06664,1.06605,1.06643,1e+100
